,baseline,use_haptic,use_haptic_audio,use_haptic_audio_vibro
0,28.61489486694336,29.991676330566406,30.328136444091797,30.252899169921875
1,26.738420486450195,28.477834701538086,28.88791847229004,28.629459381103516
2,25.68404769897461,27.647418975830078,28.036911010742188,27.727298736572266
3,24.97322654724121,27.110088348388672,27.48201560974121,27.18071746826172
4,24.46831512451172,26.706954956054688,27.042055130004883,26.75585174560547
5,23.99226188659668,26.211071014404297,26.498271942138672,26.282072067260742
6,23.62690544128418,25.73766326904297,25.968120574951172,25.855093002319336
7,23.349157333374023,25.337448120117188,25.530548095703125,25.490299224853516
8,23.15557098388672,25.060836791992188,25.24460792541504,25.229291915893555
9,22.96063995361328,24.77250099182129,24.947511672973633,24.93800926208496
10,22.82145118713379,24.557058334350586,24.71689224243164,24.691064834594727
11,22.711708068847656,24.37552261352539,24.5236759185791,24.48225975036621
12,22.619264602661133,24.237733840942383,24.386157989501953,24.316858291625977
13,22.5150089263916,24.089401245117188,24.241575241088867,24.126901626586914
14,22.443424224853516,23.994342803955078,24.142457962036133,23.98165512084961
15,22.38938331604004,23.90761947631836,24.045808792114258,23.86725425720215
