,baseline,use_haptic,use_haptic_audio,use_haptic_audio_vibro
0,0.8896308800655379,0.9012099622699888,0.90726032968323,0.9046327722932028
1,0.851686244771487,0.8686587138592319,0.8805906919707222,0.8720222082911312
2,0.8233304609003863,0.8452003423932106,0.858606617743976,0.8484359804990133
3,0.800704623511702,0.8284166225214782,0.8423786949899571,0.8323497388725536
4,0.7824962129683556,0.8155854351298891,0.8290475708126411,0.8192969223051553
5,0.7647765786409364,0.8020776891894823,0.8148550092409507,0.8062631577176412
6,0.7495984728731675,0.7890682689303176,0.8009918966939757,0.7942505255977592
7,0.7371163409987923,0.7780732537227097,0.7892649503154635,0.7841031410055934
8,0.7279446289527458,0.7696066746222544,0.7800558798960727,0.7759169384100463
9,0.7200241280989793,0.7612824613052173,0.7709695825933424,0.7679166282289541
10,0.7137690534674719,0.7540536024545164,0.7630116563116396,0.7608045822605637
11,0.7082825090309646,0.7476543326135989,0.7559155469581667,0.7545668061910469
12,0.7032186098250546,0.7415656141894554,0.7495575580728118,0.7485260735559948
13,0.6989537453168341,0.7359699140473906,0.7435638593558729,0.742770731459959
14,0.6956234397237343,0.7317723853610495,0.7389677409455362,0.7383806400161742
15,0.6924240720033572,0.7275987992572805,0.734638891490795,0.7345363356843654
