,baseline_crush,haptic_audio_vibro_crush,haptic_audio_crush,haptic_crush,baseline_grasp,haptic_audio_vibro_grasp,haptic_audio_grasp,haptic_grasp,baseline_hold,haptic_hold,haptic_audio_hold,haptic_audio_vibro_hold,baseline_lift,haptic_lift,haptic_audio_lift,haptic_audio_vibro_lift,baseline_drop,haptic_drop,haptic_audio_drop,haptic_audio_vibro_drop,baseline_poke,haptic_poke,haptic_audio_poke,haptic_audio_vibro_poke,baseline_push,haptic_push,haptic_audio_push,haptic_audio_vibro_push,baseline_shake,haptic_shake,haptic_audio_shake,haptic_audio_vibro_shake,baseline_tap,haptic_tap,haptic_audio_tap,haptic_audio_vibro_tap
0,30.759033203125,31.910554885864258,31.74318504333496,31.529449462890625,29.212745666503906,29.217227935791016,29.48101043701172,29.591583251953125,38.59669494628906,38.79136276245117,38.40391540527344,38.76438522338867,31.310035705566406,32.22822570800781,32.35099411010742,32.40346908569336,34.36643981933594,34.70729446411133,34.7254753112793,34.71754837036133,29.23157501220703,29.590892791748047,29.5366268157959,29.03192901611328,30.555492401123047,33.389034271240234,33.232818603515625,33.18436813354492,26.649507522583008,28.32949447631836,28.152061462402344,28.345252990722656,29.826675415039062,31.22829818725586,31.298856735229492,31.397869110107422
1,28.85715675354004,29.872486114501953,29.837255477905273,29.462352752685547,28.187849044799805,28.26622772216797,28.53504180908203,28.429529190063477,36.87201690673828,37.516048431396484,36.33848571777344,37.234676361083984,29.62300682067871,31.14925765991211,31.350095748901367,31.48336410522461,32.17179489135742,32.9341926574707,33.088600158691406,33.083412170410156,27.58051109313965,27.87822151184082,27.66990089416504,27.096786499023438,29.181190490722656,32.1352653503418,32.0170783996582,31.897857666015625,25.1619930267334,26.990886688232422,26.82504653930664,27.086864471435547,27.729713439941406,28.900943756103516,29.09023094177246,29.080171585083008
2,27.01670265197754,28.10354995727539,28.03419303894043,27.48584747314453,27.495466232299805,27.736032485961914,27.931726455688477,27.76624298095703,35.05988311767578,36.000728607177734,34.44381332397461,35.52880859375,28.4110164642334,30.334596633911133,30.523698806762695,30.70958137512207,30.460533142089844,31.33492088317871,31.576391220092773,31.586294174194336,26.578012466430664,26.71767807006836,26.401348114013672,25.961328506469727,28.13587188720703,31.209001541137695,31.121967315673828,30.97783851623535,24.516735076904297,26.51504135131836,26.286617279052734,26.59556770324707,26.436811447143555,27.483274459838867,27.713525772094727,27.654064178466797
3,25.843645095825195,27.021291732788086,26.773550033569336,26.050397872924805,27.000858306884766,27.399009704589844,27.48993492126465,27.201248168945312,33.47206115722656,34.57764434814453,32.91965866088867,33.99985122680664,27.553319931030273,29.703128814697266,29.83981704711914,30.06175422668457,29.17546272277832,29.991086959838867,30.259521484375,30.286579132080078,26.23172950744629,26.27724838256836,25.83957290649414,25.457786560058594,27.40439796447754,30.57184600830078,30.462228775024414,30.298633575439453,24.025680541992188,26.23322868347168,25.98720932006836,26.278474807739258,25.57084083557129,26.60542106628418,26.778608322143555,26.66708755493164
4,25.132646560668945,26.434385299682617,25.991540908813477,25.190616607666016,26.382537841796875,26.910097122192383,26.915740966796875,26.607744216918945,32.145843505859375,33.3162727355957,31.696584701538086,32.70231246948242,26.868995666503906,29.10356903076172,29.210153579711914,29.4778995513916,28.14185905456543,28.828067779541016,29.092063903808594,29.132476806640625,26.10201644897461,26.065448760986328,25.524600982666016,25.239952087402344,26.824573516845703,29.984973907470703,29.8735294342041,29.660369873046875,23.63031005859375,25.97020149230957,25.776412963867188,26.00261878967285,24.961565017700195,25.969144821166992,26.102127075195312,25.948408126831055
5,24.324077606201172,25.800765991210938,24.975942611694336,24.291053771972656,25.834617614746094,26.45185661315918,26.40239715576172,26.101621627807617,31.038833618164062,32.216796875,30.71311378479004,31.6048641204834,26.259607315063477,28.54450798034668,28.589900970458984,28.899425506591797,27.334074020385742,27.872297286987305,28.120243072509766,28.166414260864258,26.01336669921875,25.89848518371582,25.28923225402832,25.068614959716797,26.293312072753906,29.372272491455078,29.277408599853516,29.056682586669922,23.183609008789062,25.553892135620117,25.417064666748047,25.619361877441406,24.50877571105957,25.486236572265625,25.622848510742188,25.40780258178711
6,23.260343551635742,24.78569984436035,23.553415298461914,23.221065521240234,inf,inf,inf,inf,inf,inf,inf,inf,25.758586883544922,28.123790740966797,28.099262237548828,28.44647979736328,26.67438507080078,27.05944061279297,27.290016174316406,27.338289260864258,25.85064125061035,25.68866539001465,25.008148193359375,24.876781463623047,25.896358489990234,28.831951141357422,28.780136108398438,28.551795959472656,22.81589698791504,25.181676864624023,25.06880760192871,25.28408432006836,inf,inf,inf,inf
7,22.532424926757812,23.95842742919922,22.55619239807129,22.50713348388672,inf,inf,inf,inf,inf,inf,inf,inf,25.36710548400879,27.743471145629883,27.646116256713867,27.985612869262695,26.110675811767578,26.349746704101562,26.556184768676758,26.599220275878906,25.643524169921875,25.45363426208496,24.727697372436523,24.65899085998535,25.522838592529297,28.345041275024414,28.34959602355957,28.126230239868164,22.558183670043945,24.850130081176758,24.774301528930664,24.99673080444336,inf,inf,inf,inf
8,22.198644638061523,23.584529876708984,22.094240188598633,22.203304290771484,inf,inf,inf,inf,inf,inf,inf,inf,25.057788848876953,27.39192008972168,27.20899200439453,27.52869987487793,25.63532257080078,25.737855911254883,25.92159652709961,25.958057403564453,25.47367286682129,25.27079200744629,24.499279022216797,24.484413146972656,25.179988861083984,27.875484466552734,27.934356689453125,27.653701782226562,22.414291381835938,24.722530364990234,24.627779006958008,24.927492141723633,inf,inf,inf,inf
9,21.890104293823242,23.243377685546875,21.73517417907715,21.966402053833008,inf,inf,inf,inf,inf,inf,inf,inf,24.753856658935547,27.051576614379883,26.769617080688477,27.064048767089844,25.230443954467773,25.216712951660156,25.37884521484375,25.405941009521484,25.299299240112305,25.085622787475586,24.287202835083008,24.319074630737305,24.880691528320312,27.428674697875977,27.526004791259766,27.196365356445312,22.25880241394043,24.545896530151367,24.366422653198242,24.817413330078125,inf,inf,inf,inf
10,21.505788803100586,22.72747230529785,21.353227615356445,21.62590789794922,inf,inf,inf,inf,inf,inf,inf,inf,24.4696044921875,26.75333023071289,26.393856048583984,26.676225662231445,24.86684799194336,24.752161026000977,24.894779205322266,24.911428451538086,25.11814308166504,24.890382766723633,24.083694458007812,24.158184051513672,24.64219856262207,27.060287475585938,27.21833038330078,26.831430435180664,22.19158172607422,24.386877059936523,24.16434097290039,24.757644653320312,inf,inf,inf,inf
11,21.260303497314453,22.354677200317383,21.09993553161621,21.392038345336914,inf,inf,inf,inf,inf,inf,inf,inf,24.24909019470215,26.497806549072266,26.093427658081055,26.350488662719727,24.541479110717773,24.339082717895508,24.46134376525879,24.46318817138672,24.94864273071289,24.699811935424805,23.89637565612793,24.00973892211914,24.424671173095703,26.69447898864746,26.92582130432129,26.454763412475586,22.14173698425293,24.237274169921875,23.973766326904297,24.698314666748047,inf,inf,inf,inf
12,21.179109573364258,22.1973934173584,21.001985549926758,21.326595306396484,inf,inf,inf,inf,inf,inf,inf,inf,24.084260940551758,26.29578971862793,25.850034713745117,26.055997848510742,24.159900665283203,23.843887329101562,23.93917465209961,23.888399124145508,24.797927856445312,24.518449783325195,23.731834411621094,23.879735946655273,24.220518112182617,26.33002281188965,26.650676727294922,26.081514358520508,22.11298179626465,24.199329376220703,23.883819580078125,24.75128936767578,inf,inf,inf,inf
13,21.098201751708984,22.049724578857422,20.907913208007812,21.24577522277832,inf,inf,inf,inf,inf,inf,inf,inf,23.91490936279297,26.0936222076416,25.598913192749023,25.753705978393555,23.773426055908203,23.400043487548828,23.473690032958984,23.39592933654785,24.64529800415039,24.32770538330078,23.57234001159668,23.752126693725586,24.038488388061523,25.974273681640625,26.37499237060547,25.699474334716797,22.055814743041992,24.066865921020508,23.740785598754883,24.666982650756836,inf,inf,inf,inf
14,20.988399505615234,21.85843276977539,20.793943405151367,21.1186580657959,inf,inf,inf,inf,inf,inf,inf,inf,23.74735450744629,25.899930953979492,25.368677139282227,25.507570266723633,23.523717880249023,23.11064338684082,23.172115325927734,23.083988189697266,24.5084171295166,24.14284324645996,23.4281005859375,23.6363582611084,23.886568069458008,25.695648193359375,26.174352645874023,25.39164161682129,22.04473876953125,23.906085968017578,23.5513858795166,24.567712783813477,inf,inf,inf,inf
15,20.884708404541016,21.68980598449707,20.693796157836914,21.01456069946289,inf,inf,inf,inf,inf,inf,inf,inf,23.626270294189453,25.759950637817383,25.225467681884766,25.356454849243164,23.31546974182129,22.871963500976562,22.92222785949707,22.823060989379883,24.39012336730957,23.969127655029297,23.30255699157715,23.537948608398438,23.75681495666504,25.39666748046875,25.948406219482422,25.04597282409668,22.030681610107422,23.74432373046875,23.35416030883789,24.454553604125977,inf,inf,inf,inf
