,baseline,baseline_std,use_haptic_audio_vibro,use_haptic_audio_vibro_std,use_haptic_audio_vibro_wo,use_haptic_audio_vibro_wo_std
0,28.46118164,0.496736685,30.87833595,0.569421715,29.834455490112305,0.500649929
1,26.72327423,0.434905608,29.40386009,0.548394654,27.941160202026367,0.487890085
2,25.775383,0.396749338,28.42135811,0.507099938,26.899829864501953,0.480020682
3,25.10042953,0.505541748,27.83343887,0.488560597,26.265596389770508,0.480056206
4,24.61081696,0.471478621,27.37187767,0.471794208,25.795560836791992,0.470599413
5,24.14561844,0.439275795,26.87308884,0.467270436,25.363698959350586,0.462641478
6,23.76880074,0.411348867,26.43428993,0.46819241,24.982784271240234,0.453996023
7,23.48103333,0.527632825,26.07670021,0.470898902,24.686616897583008,0.446317434
8,23.27568817,0.549988906,25.81783485,0.463872883,24.492103576660156,0.43466719
9,23.07287788,0.527476509,25.55386734,0.544670211,24.28765296936035,0.425774058
10,22.91980934,0.512543321,25.35643768,0.531419595,24.139253616333008,0.551470968
11,22.78194046,0.498406529,25.18034744,0.519326263,24.017681121826172,0.532361243
12,22.67468071,0.4815437,25.00569534,0.494370249,23.954219818115234,0.499097612
13,22.55387306,0.476359725,24.81438446,0.474493557,23.887447357177734,0.479242166
14,22.46084023,0.480786403,24.6899147,0.463981999,23.861305236816406,0.470695866
15,22.38015366,0.481688937,24.58806992,0.458890862,23.798622131347656,0.463066419
