,baseline,use_haptic,use_haptic_audio,use_haptic_audio_vibro
0,0.8926258673927708,0.9042506152114905,0.8965011564233408,0.901143327769884
1,0.856527494493717,0.8744772048716769,0.8647289885063751,0.8720673894037799
2,0.8289535075097871,0.8534009412291403,0.8426487769518205,0.8499317856901119
3,0.8065402158361199,0.8382541254584092,0.8269906108636352,0.8342151229777629
4,0.7884678014947738,0.8258076147151334,0.814013232337128,0.8215569790277262
5,0.7706473010363087,0.8134539835176259,0.8012676779937961,0.8090992182864373
6,0.754375519806926,0.8012312165971945,0.7897687112908198,0.797477823371146
7,0.7411859606140611,0.7904337414612008,0.780227799193489,0.7879175349476331
8,0.7308165390835584,0.781422145617916,0.7724561842222288,0.7806258448995781
9,0.7217372529022167,0.7726381221142767,0.7649481144881193,0.7737845449905535
10,0.7143504818001746,0.7650662773449193,0.7587426236732849,0.7678648905988557
11,0.7074132837378596,0.758252518709941,0.7531528660364286,0.7624939530327888
12,0.7016292079855315,0.7519286392914561,0.7475315935507432,0.7570645424731257
13,0.6966848825112373,0.7458312645563511,0.7422127656216819,0.7519317166213421
14,0.6927222695297971,0.7412248175155667,0.7379272401070921,0.7481387660792227
15,0.6889192152274344,0.7368186066777167,0.7339140779843364,0.7444631755527036
