,baseline_mean,baseline_std,use_haptic_mean,use_haptic_std,use_haptic_audio_mean,use_haptic_audio_std,use_haptic_audio_vibro_mean,use_haptic_audio_vibro_std
0,29.488210678100586,2.9804201126098633,31.15567398071289,2.943195343017578,30.57254981994629,3.003899574279785,30.87833595275879,3.0748772621154785
1,27.403396606445312,2.609433650970459,29.598876953125,2.7915053367614746,28.992572784423828,2.927340507507324,29.403860092163086,2.9613311290740967
2,26.235382080078125,2.380496025085449,28.648971557617188,2.659022808074951,28.046525955200195,2.880124092102051,28.421358108520508,2.73833966255188
3,25.479101181030273,2.274937868118286,28.05980110168457,2.598987102508545,27.457059860229492,2.8803372383117676,27.833438873291016,2.6382272243499756
4,24.910215377807617,2.1216537952423096,27.596981048583984,2.513951063156128,26.986299514770508,2.823596477508545,27.371877670288086,2.5476887226104736
5,24.376867294311523,1.976741075515747,27.091527938842773,2.4560039043426514,26.495227813720703,2.775848865509033,26.873088836669922,2.5232603549957275
6,23.94423484802246,1.8340466022491455,26.587182998657227,2.445214033126831,26.04694366455078,2.7239761352539062,26.434289932250977,2.5282390117645264
7,23.61189079284668,1.732898473739624,26.168848037719727,2.478607416152954,25.688430786132812,2.6779046058654785,26.07670021057129,2.542854070663452
8,23.368242263793945,1.6499667167663574,25.859525680541992,2.4525232315063477,25.433879852294922,2.6080031394958496,25.817834854125977,2.504913568496704
9,23.136104583740234,1.5824295282363892,25.535768508911133,2.42400860786438,25.184619903564453,2.5546443462371826,25.55386734008789,2.4510159492492676
10,22.964094161987305,1.5376299619674683,25.28559684753418,2.3974170684814453,25.001354217529297,2.481619358062744,25.35643768310547,2.391388177871704
11,22.822797775268555,1.4952195882797241,25.0797176361084,2.3633697032928467,24.843557357788086,2.395625591278076,25.180347442626953,2.336968183517456
12,22.696603775024414,1.4446310997009277,24.886999130249023,2.239760160446167,24.69679069519043,2.245939254760742,25.005695343017578,2.224666118621826
13,22.576038360595703,1.4290791749954224,24.692548751831055,2.162363052368164,24.55695915222168,2.1565897464752197,24.81438446044922,2.135221004486084
14,22.49461555480957,1.442359209060669,24.58065414428711,2.1499898433685303,24.456329345703125,2.118131399154663,24.68991470336914,2.087918996810913
15,22.427268981933594,1.4450668096542358,24.484756469726562,2.1289260387420654,24.363407135009766,2.083798885345459,24.588069915771484,2.0650088787078857
