,baseline_mean,baseline_std,use_haptic_mean,use_haptic_std,use_haptic_audio_mean,use_haptic_audio_std,use_haptic_audio_vibro_mean,use_haptic_audio_vibro_std
0,0.8893440951386733,0.04519128849603224,0.9014043591867015,0.040153537370127945,0.8936212283856934,0.03932505765931,0.8985885546674544,0.041008350195467475
1,0.8500913012444755,0.05423460783532707,0.8692849519827635,0.048487900544191616,0.8595693798452411,0.047543084625339606,0.8671640083169873,0.052204656304922624
2,0.8209304485570228,0.05723729630153833,0.8464382501677763,0.051687520783071254,0.8357235211065422,0.051742842120749644,0.8434410332438782,0.055819069751366295
3,0.7980450105258271,0.05862409748750172,0.8300770784893419,0.05308610306994128,0.8188602094155722,0.054472397269728065,0.8268826716949174,0.057502104316109096
4,0.7798288218130398,0.058129873688387575,0.8172101311360296,0.05214522717391224,0.8055227385372749,0.05492335262197493,0.8140946575583129,0.05740516945960898
5,0.762044414859123,0.057090887814832125,0.8044892777952598,0.0515363395112411,0.7921687134789347,0.05596629228395622,0.8012475364249787,0.05772598918120246
6,0.7463768484134028,0.0544224015122635,0.792115781994154,0.05114442365428503,0.7799150369500188,0.056930652032793974,0.7891883211575935,0.05797397620350513
7,0.7329727881950727,0.05222172843090443,0.7808578165235506,0.05146699512234004,0.7696485226797705,0.057353252556797414,0.7791093055779944,0.05829358417425974
8,0.7227012246395239,0.05028063426918142,0.7715840438119973,0.051324648701084434,0.7613886787730544,0.05699793835383624,0.7715410320291205,0.05779670951103983
9,0.7137816501253015,0.049114915908483256,0.7623472027337626,0.0514977471148576,0.7533068783414618,0.05696496023350187,0.7643395669708266,0.057234882246515094
10,0.7063844569946933,0.04847256218790814,0.7544772901430913,0.05183714725919229,0.7464952995423337,0.05700405202552543,0.7582005257542945,0.05680757706916837
11,0.6998025977834317,0.047671390524307806,0.7474872262194929,0.052175593146168285,0.7405894663994331,0.05678614564674673,0.752645325616029,0.056466688119404446
12,0.6938375129428033,0.04698790194907648,0.740928806256074,0.05150381910900686,0.7347445053554293,0.05509112190790857,0.7472784483563115,0.05515079710130534
13,0.6888228088121499,0.04751000453081893,0.7343664773216966,0.051042490421816175,0.7288783903357212,0.05423427625444446,0.7417694225424922,0.05419031177187886
14,0.685014228573092,0.04859447906319485,0.7295432303339136,0.05141239950844388,0.7242337480125669,0.05432076889529176,0.7376018664936842,0.05411161972967644
15,0.6813850201209359,0.049422475568654416,0.725115050434446,0.051799667010359825,0.7200986640538652,0.05492294284697035,0.7338469230171029,0.054518763645584084

